"numsteps":12
"T":1.0 
"numlanes":3 
"vd":28.75005
"C":3.6
"a(0)":0.00340
"safety":1.34584
"planTime":131.50000
"id":40
"x(0)":2365.92647
"y(0)":2
"v(0)":28.73887
"obst_x(0,0)":2561.27735
"obst_y(2,27)":2
"obst_ax(2,27)":0.00250
"obst_y(2,28)":2
"obst_ax(2,28)":0.00240
"obst_y(2,29)":2
"obst_ax(2,29)":0.00230
"obst_y(2,30)":2
"obst_ax(2,30)":0.00230
"obst_y(2,31)":2
"obst_ax(2,31)":0.00220
"obst_y(2,32)":2
"obst_ax(2,32)":0.00220
"obst_y(2,33)":2
"obst_ax(2,33)":0.00210
"obst_y(2,34)":2
"obst_ax(2,34)":0.00210
"obst_y(2,35)":2
"obst_ax(2,35)":0.00210
"obst_y(2,36)":2
"obst_ax(2,36)":0.00200
"obst_y(2,37)":2
"obst_ax(2,37)":0.00200
"obst_y(2,38)":2
"obst_ax(2,38)":0.00200
"obst_y(2,39)":2
"obst_ax(2,39)":0.00190
"obst_y(2,40)":2
"obst_ax(2,40)":0.00190
"obst_y(2,41)":2
"obst_ax(2,41)":0.00190
"obst_y(2,42)":2
"obst_ax(2,42)":0.00190
"obst_y(2,43)":2
"obst_ax(2,43)":0.00190
"obst_y(2,44)":2
"obst_ax(2,44)":0.00180
"obst_y(2,45)":2
"obst_ax(2,45)":0.00180
"obst_y(2,46)":2
"obst_ax(2,46)":0.00180
"obst_y(2,47)":2
"obst_ax(2,47)":0.00180
"obst_x(3,0)":2493.26596
"obst_y(3,0)":1
"obst_v(3,0)":28.13196
"obst_id(3,0)":36
"obst_connected(3,0)":1
"obst_vd(3,0)":28.13559
"obst_planTime(3,0)":126.500000
"obst_y(3,0)":1
"obst_ax(3,0)":-0.00050
"obst_y(3,1)":1
"obst_ax(3,1)":-0.00050
"obst_y(3,2)":1
"obst_ax(3,2)":-0.00040
"obst_y(3,3)":1
"obst_ax(3,3)":-0.00040
"obst_y(3,4)":1
"obst_ax(3,4)":-0.00030
"obst_y(3,5)":1
"obst_ax(3,5)":-0.00030
"obst_y(3,6)":1
"obst_ax(3,6)":-0.00020
"obst_y(3,7)":1
"obst_ax(3,7)":-0.00020
"obst_y(3,8)":1
"obst_ax(3,8)":-0.00020
"obst_y(3,9)":1
"obst_ax(3,9)":-0.00010
"obst_y(3,10)":1
"obst_ax(3,10)":-0.00010
"obst_y(3,11)":1
"obst_ax(3,11)":-0.00010
"obst_y(3,12)":1
"obst_ax(3,12)":-0.00000
"obst_y(3,13)":1
"obst_ax(3,13)":-0.00000
"obst_y(3,14)":1
"obst_ax(3,14)":0.00000
"obst_y(3,15)":1
"obst_ax(3,15)":0.00000
"obst_y(3,16)":1
"obst_ax(3,16)":0.00010
"obst_y(3,17)":1
"obst_ax(3,17)":0.00010
"obst_y(3,18)":1
"obst_ax(3,18)":0.00010
"obst_y(3,19)":1
"obst_ax(3,19)":0.00010
"obst_y(3,20)":1
"obst_ax(3,20)":0.00020
"obst_y(3,21)":1
"obst_ax(3,21)":0.00020
"obst_y(3,22)":1
"obst_ax(3,22)":0.00020
"obst_y(3,23)":1
"obst_ax(3,23)":0.00020
"obst_y(3,24)":1
"obst_ax(3,24)":0.00020
"obst_y(3,25)":1
"obst_ax(3,25)":0.00020
"obst_y(3,26)":1
"obst_ax(3,26)":0.00030
"obst_y(3,27)":1
"obst_ax(3,27)":0.00030
"obst_y(3,28)":1
"obst_ax(3,28)":0.00030
"obst_y(3,29)":1
"obst_ax(3,29)":0.00030
"obst_y(3,30)":1
"obst_ax(3,30)":0.00030
"obst_y(3,31)":1
"obst_ax(3,31)":0.00030
"obst_y(3,32)":1
"obst_ax(3,32)":0.00030
"obst_y(3,33)":1
"obst_ax(3,33)":0.00030
"obst_y(3,34)":1
"obst_ax(3,34)":0.00030
"obst_y(3,35)":1
"obst_ax(3,35)":0.00040
"obst_y(3,36)":1
"obst_ax(3,36)":0.00040
"obst_y(3,37)":1
"obst_ax(3,37)":0.00040
"obst_y(3,38)":1
"obst_ax(3,38)":0.00040
"obst_y(3,39)":1
"obst_ax(3,39)":0.00040
"obst_y(3,40)":1
"obst_ax(3,40)":0.00040
"obst_y(3,41)":1
"obst_ax(3,41)":0.00040
"obst_y(3,42)":1
"obst_ax(3,42)":0.00040
"obst_y(3,43)":1
"obst_ax(3,43)":0.00040
"obst_y(3,44)":1
"obst_ax(3,44)":0.00040
"obst_y(3,45)":1
"obst_ax(3,45)":0.00040
"obst_y(3,46)":1
"obst_ax(3,46)":0.00040
"obst_y(3,47)":1
"obst_ax(3,47)":0.00040
"obst_x(4,0)":2354.24735
"obst_y(4,0)":1
"obst_v(4,0)":26.92112
"obst_id(4,0)":35
"obst_connected(4,0)":1
"obst_vd(4,0)":26.93547
"obst_planTime(4,0)":128.500000
"obst_y(4,0)":1
"obst_ax(4,0)":0.00220
"obst_y(4,1)":1
"obst_ax(4,1)":0.00210
"obst_y(4,2)":1
"obst_ax(4,2)":0.00210
"obst_y(4,3)":1
"obst_ax(4,3)":0.00200
"obst_y(4,4)":1
"obst_ax(4,4)":0.00200
"obst_y(4,5)":1
"obst_ax(4,5)":0.00190
"obst_y(4,6)":1
"obst_ax(4,6)":0.00190
"obst_y(4,7)":1
"obst_ax(4,7)":0.00180
"obst_y(4,8)":1
"obst_ax(4,8)":0.00180
"obst_y(4,9)":1
"obst_ax(4,9)":0.00170
"obst_y(4,10)":1
"obst_ax(4,10)":0.00160
"obst_y(4,11)":1
"obst_ax(4,11)":0.00160
"obst_y(4,12)":1
"obst_ax(4,12)":0.00150
"obst_y(4,13)":1
"obst_ax(4,13)":0.00150
"obst_y(4,14)":1
"obst_ax(4,14)":0.00140
"obst_y(4,15)":1
"obst_ax(4,15)":0.00140
"obst_y(4,16)":1
"obst_ax(4,16)":0.00130
"obst_y(4,17)":1
"obst_ax(4,17)":0.00130
"obst_y(4,18)":1
"obst_ax(4,18)":0.00130
"obst_y(4,19)":1
"obst_ax(4,19)":0.00120
"obst_y(4,20)":1
"obst_ax(4,20)":0.00120
"obst_y(4,21)":1
"obst_ax(4,21)":0.00110
"obst_y(4,22)":1
"obst_ax(4,22)":0.00110
"obst_y(4,23)":1
"obst_ax(4,23)":0.00110
"obst_y(4,24)":1
"obst_ax(4,24)":0.00100
"obst_y(4,25)":1
"obst_ax(4,25)":0.00100
"obst_y(4,26)":1
"obst_ax(4,26)":0.00090
"obst_y(4,27)":1
"obst_ax(4,27)":0.00090
"obst_y(4,28)":1
"obst_ax(4,28)":0.00090
"obst_y(4,29)":1
"obst_ax(4,29)":0.00090
"obst_y(4,30)":1
"obst_ax(4,30)":0.00080
"obst_y(4,31)":1
"obst_ax(4,31)":0.00080
"obst_y(4,32)":1
"obst_ax(4,32)":0.00080
"obst_y(4,33)":1
"obst_ax(4,33)":0.00080
"obst_y(4,34)":1
"obst_ax(4,34)":0.00070
"obst_y(4,35)":1
"obst_ax(4,35)":0.00070
"obst_y(4,36)":1
"obst_ax(4,36)":0.00070
"obst_y(4,37)":1
"obst_ax(4,37)":0.00070
"obst_y(4,38)":1
"obst_ax(4,38)":0.00070
"obst_y(4,39)":1
"obst_ax(4,39)":0.00060
"obst_y(4,40)":1
"obst_ax(4,40)":0.00060
"obst_y(4,41)":1
"obst_ax(4,41)":0.00060
"obst_y(4,42)":1
"obst_ax(4,42)":0.00060
"obst_y(4,43)":1
"obst_ax(4,43)":0.00060
"obst_y(4,44)":1
"obst_ax(4,44)":0.00060
"obst_y(4,45)":1
"obst_ax(4,45)":0.00060
"obst_y(4,46)":1
"obst_ax(4,46)":0.00060
"obst_y(4,47)":1
"obst_ax(4,47)":0.00060
"obst_x(5,0)":2289.43472
"obst_y(5,0)":1
"obst_v(5,0)":26.83927
"obst_id(5,0)":39
"obst_connected(5,0)":0
"obst_x(6,0)":2488.32814
"obst_y(6,0)":0
"obst_v(6,0)":29.69850
"obst_id(6,0)":38
"obst_connected(6,0)":0
"obst_x(7,0)":2299.41003
"obst_y(7,0)":0
"obst_v(7,0)":27.98317
"obst_id(7,0)":41
"obst_connected(7,0)":0
"n":8

